source,source_id,country,state,city,road_name,latitude,longitude,camera_type,enforcement_type,speed_limit,status,verification_status,source_url
India Speed Camera Dataset,IND-SP-0001,India,Chandigarh,Chandigarh,Sector 17,30.741100,76.788600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0002,India,Punjab,Mohali,Kharar Road,30.704600,76.717900,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0003,India,Punjab,Mohali,Airport Road,30.673500,76.801900,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0004,India,Himachal Pradesh,Shimla,Mall Road,31.104800,77.173400,Speed Camera,Speed Enforcement,30,active,pending,
India Speed Camera Dataset,IND-SP-0005,India,Delhi,New Delhi,Outer Ring Road,28.631500,77.216700,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0006,India,Delhi,New Delhi,Ring Road,28.613900,77.209000,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0007,India,Maharashtra,Mumbai,Marine Drive,18.943200,72.823600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0008,India,Maharashtra,Mumbai,Western Express Highway,19.119700,72.846800,Speed Camera,Speed Enforcement,80,active,pending,
India Speed Camera Dataset,IND-SP-0009,India,Karnataka,Bengaluru,Outer Ring Road,12.935200,77.624500,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0010,India,Karnataka,Bengaluru,Electronic City Road,12.845800,77.660300,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0011,India,Telangana,Hyderabad,Hitech City Road,17.448500,78.390800,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0012,India,Telangana,Hyderabad,Outer Ring Road,17.300000,78.500000,Speed Camera,Speed Enforcement,100,active,pending,
India Speed Camera Dataset,IND-SP-0013,India,Tamil Nadu,Chennai,Anna Salai,13.060400,80.249600,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0014,India,Tamil Nadu,Chennai,OMR Road,12.935200,80.230500,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0015,India,West Bengal,Kolkata,EM Bypass,22.514600,88.393300,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0016,India,West Bengal,Kolkata,Park Street,22.553500,88.352100,Speed Camera,Speed Enforcement,40,active,pending,
India Speed Camera Dataset,IND-SP-0017,India,Gujarat,Ahmedabad,SG Highway,23.039600,72.509500,Speed Camera,Speed Enforcement,60,active,pending,
India Speed Camera Dataset,IND-SP-0018,India,Gujarat,Surat,Ring Road,21.170200,72.831100,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0019,India,Rajasthan,Jaipur,MI Road,26.912400,75.787300,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0020,India,Kerala,Kochi,Mahatma Gandhi Road,9.967000,76.285000,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0021,India,Kerala,Thiruvananthapuram,MG Road,8.487500,76.949000,Speed Camera,Speed Enforcement,50,active,pending,
India Speed Camera Dataset,IND-SP-0022,India,Andhra Pradesh,Visakhapatnam,Beach Road,17.686800,83.218500,Speed Camera,Speed Enforcement,50,active,pending,
